No,NAMA_KEL,PELAKU_PERJALANAN,KONTAK_ERAT,SUSPECT,PROBABLE,KONFIRMASI,SEMBUH,DIRAWAT,ISOLASI_MANDIRI,MENINGGAL
1,BANJAREJO,135,87,0,0,48,42,2,2,2
2,DEMANGAN,91,129,0,1,60,48,3,7,2
3,JOSENAN,55,58,0,0,40,33,2,4,1
4,KANIGORO,76,97,0,0,55,32,8,12,3
5,KARTOHARJO,47,26,0,0,22,18,3,1,0
6,KEJURON,82,76,0,1,44,31,5,1,7
7,KELUN,38,46,0,0,16,12,0,1,3
8,KLEGEN,50,110,0,0,69,50,1,12,6
9,KUNCEN,8,0,0,0,0,0,0,0,0
10,MADIUN LOR,79,68,0,0,45,39,3,2,1
11,MANGUHARJO,37,59,2,0,27,14,1,9,3
12,MANISREJO,103,132,0,0,86,59,7,14,6
13,MOJOREJO,99,172,0,0,72,51,6,9,6
14,NAMBANGAN KIDUL,53,104,0,0,37,22,4,11,0
15,NAMBANGAN LOR,146,103,0,1,35,26,4,2,3
16,NGEGONG,36,73,0,0,12,11,0,0,1
17,ORO-ORO OMBO,44,72,0,0,25,14,3,6,2
18,PANDEAN,91,62,0,0,63,51,4,5,3
19,PANGONGANGAN,25,34,0,1,17,16,0,0,1
20,PATIHAN,45,40,0,0,18,15,1,1,1
21,PILANGBANGO,47,26,0,0,12,10,1,0,1
22,REJOMULYO,92,110,0,1,54,44,1,2,7
23,SOGATEN,65,67,0,0,31,28,1,2,0
24,SUKOSARI,70,39,0,0,17,16,0,1,0
25,TAMAN,62,136,2,0,68,46,4,13,5
26,TAWANGREJO,39,43,0,1,24,22,0,0,2
27,WINONGO,67,96,0,0,61,45,2,11,3
